chr	start	end	strand	gene
chr1	201281451	201285451	+	PKP1
chr1	67132970	67136970	-	C1orf141
chr1	201281505	201285505	+	PKP1
chr1	8815640	8819640	-	RERE
chr1	8421832	8425832	-	RERE
chr1	34163230	34167230	-	CSMD2
chr1	34163842	34167842	-	CSMD2
chr1	75609114	75613114	-	SLC44A5
chr1	83997132	84001132	-	TTLL7
chr1	117365448	117369448	+	MAN1A2
chr1	75614163	75618163	-	SLC44A5
chr1	92297009	92301009	-	GLMN
chr1	92296987	92300987	-	GLMN
chr1	167719981	167723981	+	MPZL1
chr1	176205244	176209244	-	COP1
chr1	150980291	150984291	+	ANXA9
chr1	184385028	184389028	+	C1orf21
chr1	176205286	176209286	-	COP1
chr1	243254004	243258004	+	SDCCAG8
chr1	209684179	209688179	+	HSD11B1
chr1	209702845	209706845	+	HSD11B1
chr1	243254040	243258040	+	SDCCAG8
chr1	6783453	6787453	+	CAMTA1
chr1	2071461	2075461	+	PRKCZ
chr1	1031992	1035992	+	AGRN
chr1	2048410	2052410	+	PRKCZ
chr1	6358714	6362714	-	ACOT7
chr1	6383768	6387768	-	ACOT7
chr1	6356929	6360929	-	ACOT7
chr1	6391767	6395767	-	ACOT7
chr1	3067202	3071202	+	PRDM16
chr1	2071985	2075985	+	PRKCZ
chr1	1018119	1022119	+	AGRN
chr1	14596716	14600716	+	KAZN
chr1	12614789	12618789	-	DHRS3
chr1	14596684	14600684	+	KAZN
chr1	12616210	12620210	-	DHRS3
chr1	12594613	12598613	-	DHRS3
chr1	10472949	10476949	+	PEX14
chr1	11477154	11481154	+	DISP3
chr1	15682319	15686319	+	PLEKHM2
chr1	23017467	23021467	+	KDM1A
chr1	18888891	18892891	-	ALDH4A1
chr1	21166039	21170039	-	EIF4G3
chr1	21109383	21113383	-	EIF4G3
chr1	18900555	18904555	-	ALDH4A1
chr1	17753332	17757332	+	ACTL8
chr1	21174897	21178897	-	EIF4G3
chr1	19921617	19925617	-	PLA2G2E
chr1	18900799	18904799	-	ALDH4A1
chr1	27232631	27236631	+	WDTC1
chr1	37763120	37767120	-	EPHA10
chr1	39881511	39885511	-	TRIT1
chr1	39881504	39885504	-	TRIT1
chr1	50021954	50025954	-	AGBL4
chr1	48220715	48224715	+	SLC5A9
chr1	46174488	46178488	-	P3R3URF-PIK3R3
chr1	45204605	45208605	-	ZSWIM5
chr1	47188036	47192036	-	PDZK1IP1
chr1	46172901	46176901	-	PIK3R3
chr1	58248503	58252503	-	DAB1
chr1	58544726	58548726	-	DAB1
chr1	51517266	51521266	-	EPS15
chr1	51420095	51424095	-	EPS15
chr1	52551092	52555092	-	TUT4
chr1	52551090	52555090	-	TUT4
chr1	65911244	65915244	+	PDE4B
chr1	65065746	65069746	-	JAK1
chr1	65790894	65794894	+	PDE4B
chr1	65790509	65794509	+	PDE4B
chr1	63772016	63776016	+	ROR1
chr1	61740479	61744479	+	PATJ
chr1	65990615	65994615	+	PDE4B
chr1	68230546	68234546	-	WLS
chr1	74196241	74200241	+	FPGT-TNNI3K
chr1	68230523	68234523	-	WLS
chr1	74233386	74237386	+	TNNI3K
chr1	78618447	78622447	+	IFI44L
chr1	77681427	77685427	-	ZZZ3
chr1	81304258	81308258	+	ADGRL2
chr1	77681398	77685398	-	ZZZ3
chr1	77680658	77684658	-	ZZZ3
chr1	76072745	76076745	+	ST6GALNAC3
chr1	81697769	81701769	+	ADGRL2
chr1	81304394	81308394	+	ADGRL2
chr1	81304191	81308191	+	ADGRL2
chr1	86154772	86158772	-	COL24A1
chr1	86154471	86158471	-	COL24A1
chr1	86912634	86916634	+	HS2ST1
chr1	84995113	84999113	-	MCOLN2
chr1	97919034	97923034	-	DPYD
chr1	111138222	111142222	+	CEPT1
chr1	116371866	116375866	+	ATP1A1
chr1	116381369	116385369	+	ATP1A1
chr1	111137848	111141848	+	CEPT1
chr1	111137382	111141382	+	CEPT1
chr1	116371243	116375243	+	ATP1A1
chr1	148887559	148891559	+	PDE4DIP
chr1	148806341	148810341	+	PDE4DIP
chr1	148842427	148846427	+	PDE4DIP
chr1	148887402	148891402	+	PDE4DIP
chr1	148885372	148889372	+	PDE4DIP
chr1	145822095	145826095	-	RNF115
chr1	150008726	150012726	-	OTUD7B
chr1	155190909	155194909	-	MUC1
chr1	156210987	156214987	+	PMF1
chr1	155190915	155194915	-	MUC1
chr1	154153116	154157116	-	NUP210L
chr1	156210987	156214987	+	PMF1-BGLAP
chr1	165696562	165700562	-	ALDH9A1
chr1	164557183	164561183	+	PBX1
chr1	164557359	164561359	+	PBX1
chr1	165696663	165700663	-	ALDH9A1
chr1	162495173	162499173	+	UHMK1
chr1	164557721	164561721	+	PBX1
chr1	162495817	162499817	+	UHMK1
chr1	162495804	162499804	+	UHMK1
chr1	169891896	169895896	-	SCYL3
chr1	171839497	171843497	+	DNM3
chr1	175065832	175069832	+	TNN
chr1	169891959	169895959	-	SCYL3
chr1	179291713	179295713	+	SOAT1
chr1	183470498	183474498	+	SMG7
chr1	177168957	177172957	+	BRINP2
chr1	182448145	182452145	+	RGSL1
chr1	179291796	179295796	+	SOAT1
chr1	180500577	180504577	-	ACBD6
chr1	178092103	178096103	+	RASAL2
chr1	198154997	198158997	+	NEK7
chr1	197144694	197148694	-	ASPM
chr1	197144669	197148669	-	ASPM
chr1	206505530	206509530	+	RASSF5
chr1	202346698	202350698	+	PPP1R12B
chr1	207494156	207498156	+	CR1
chr1	206555163	206559163	+	RASSF5
chr1	204492805	204496805	-	PIK3C2B
chr1	202346701	202350701	+	PPP1R12B
chr1	205502668	205506668	+	CDK18
chr1	217135702	217139702	-	ESRRG
chr1	211828338	211832338	-	LPGAT1
chr1	217074992	217078992	-	ESRRG
chr1	217087618	217091618	-	ESRRG
chr1	211132148	211136148	-	KCNH1
chr1	211828763	211832763	-	LPGAT1
chr1	212856274	212860274	+	FLVCR1
chr1	217088568	217092568	-	ESRRG
chr1	217076287	217080287	-	ESRRG
chr1	217087824	217091824	-	ESRRG
chr1	211828153	211832153	-	LPGAT1
chr1	217087645	217091645	-	ESRRG
chr1	216421448	216425448	-	USH2A
chr1	223362176	223366176	-	SUSD4
chr1	224432797	224436797	-	WDR26
chr1	220270453	220274453	-	RAB3GAP2
chr1	231624789	231628789	+	DISC1
chr1	231624814	231628814	+	DISC1
chr1	229624215	229628215	+	URB2
chr1	230640480	230644480	+	COG2
chr1	229624246	229628246	+	URB2
chr1	241355205	241359205	-	RGS7
chr1	240089882	240093882	+	FMN2
chr1	241355230	241359230	-	RGS7
chr1	242447468	242451468	-	PLD5
chr1	242447482	242451482	-	PLD5
chr1	241354958	241358958	-	RGS7
chr1	242522697	242526697	-	PLD5
chr1	241353826	241357826	-	RGS7
chr1	246505279	246509279	-	SMYD3
chr1	246415412	246419412	-	SMYD3
