chr	start_promoter	end_promoter	strand	gene_name
chr1	3669498	3673498	-	XKR4
chr1	4407241	4411241	-	RP1
chr1	4407187	4411187	-	RP1
chr1	4495354	4499354	-	SOX17
chr1	4783739	4787739	-	MRPL15
chr1	4805788	4809788	+	LYPLA1
chr1	4805892	4809892	+	GM37988
chr1	4855814	4859814	+	TCEA1
chr1	5068285	5072285	-	RGS20
chr1	5068018	5072018	+	ATP6V1H
chr1	5586466	5590466	+	OPRK1
chr1	5915398	5919398	-	NPBWR1
chr1	6204197	6208197	+	RB1CC1
chr1	6357218	6361218	+	FAM150A
chr1	6485231	6489231	+	ST18
chr1	7086920	7090920	+	PCMTD1
chr1	9297878	9301878	-	SNTG1
chr1	9543408	9547408	+	RRS1
chr1	9545948	9549948	+	ADHFE1
chr1	9599199	9603199	+	3110035E14RIK
chr1	9698209	9702209	-	MYBL1
chr1	9746382	9750382	-	VCPIP1
chr1	9796107	9800107	+	SGK3
chr1	9906638	9910638	+	MCMDC2
chr1	9965932	9969932	-	TCF24
chr1	10007136	10011136	-	PPP1R42
chr1	10036168	10040168	-	COPS5
chr1	10035987	10039987	+	CSPP1
chr1	10230670	10234670	-	ARFGEF1
chr1	10717945	10721945	-	CPA6
chr1	10991465	10995465	+	PREX2
chr1	11412105	11416105	+	A830018L16RIK
chr1	12690277	12694277	+	SULF1
chr1	12990650	12994650	-	SLCO5A1
chr1	13125163	13129163	-	PRDM14
chr1	13372083	13376083	-	NCOA2
chr1	13587910	13591910	-	TRAM1
chr1	13658546	13662546	-	LACTB2
chr1	13666771	13670771	+	XKR9
chr1	14308235	14312235	-	EYA1
chr1	14753992	14757992	-	MSC
chr1	14916862	14920862	-	TRPA1
chr1	15285254	15289254	+	KCNB2
chr1	15803646	15807646	+	TERF1
chr1	15890722	15894722	-	SBSPON
chr1	16091325	16095325	-	4930444P10RIK
chr1	16102662	16106662	-	RPL7
chr1	16103774	16107774	+	RDH10
chr1	16518112	16522112	-	STAU2
chr1	16617489	16621489	-	UBE2W
chr1	16655042	16659042	-	TCEB1
chr1	16663207	16667207	+	TMEM70
chr1	16686051	16690051	+	LY96
chr1	17095889	17099889	-	JPH1
chr1	17143362	17147362	+	GDAP1
